Id|Created|Permit Type|Review Over The Counter|Only Fire Department Review|Applicant Type|Applicant First Name|Applicant Last Name|Applicant Phone Number|Applicant Email|Applicant Company Name|Applicant Address1|Applicant Address2|Applicant Street Suffix|Applicant City|Applicant State|Applicant Zip Code|Applicant Contractor License Number|Applicant B T R C|Owner First Name|Owner Last Name|Owner Phone Number|Owner Address1|Owner Address2|Owner City|Owner State|Owner Zip Code|Contractor Organization Name|Contractor First Name|Contractor Last Name|Contractor Email|Contractor License Number|Contractor B T R C|Existing Building Construction Type|Existing Building Dwelling Units|Existing Building Occupancy Stories|Existing Building Basements And Cellars|Existing Building Present Use Other|Existing Building Occupancy Class|Existing Fire Rating|Site Permit|Estimated Cost Of Project|Project Description|Proposed Type Of Construction|Proposed Dwelling Units|Proposed Occupancy Stories|Proposed Basements And Cellars|Proposed Use Other|Proposed Fire Rating|Proposed Occupancy Class|Electrical Work|Plumbing Work|Deck Or Horizontal Extension|Affordable Housing|Accessory Dwelling Unit|Accessory Dwelling Unit2|Bluebeam Id|No Plans Permit|Project Address Number|Project Address Number Suffix|Project Address Street Name|Project Address Street Type|Project Address Unit Number|Project Address Block|Project Address Lot|Engineer Organization Name|Engineer First Name|Engineer Last Name|Engineer Email|Engineer License Number|Engineer Phone Number|Engineer Address1|Engineer Address2|Engineer City|Engineer State|Engineer Zip Code|Architect Organization Name|Architect First Name|Architect Last Name|Architect Email|Architect License Number|Architect Phone Number|Architect Address1|Architect Address2|Architect City|Architect State|Architect Zip Code|Agent Organization Name|Agent First Name|Agent Last Name|Agent Email|Agent Phone Number|Agentt Address1|Agent Address2|Agent City|Agent State|Agent Zip Code|Attorney Organization Name|Attorney First Name|Attorney Last Name|Attorney Email|Attorney Phone Number|Attorney Address1|Attorney Address2|Attorney City|Attorney State|Attorney Zip Code|Notes|Workers Comp Selectboxes|Carrier|Policy Number
6021927671e7c38243de42ea|2021-02-08 11:35:18 AM|existingBuilding|||AUTHORIZED AGENT-OTHERS|Test|Test|5558675309|jason.hemmerle@sfgov.org||Address Test|||City Test|CA|99999|||||5558675309|Address Test||City Test||99999|Contractor Organization Test|||jason.hemmerle@sfgov.org|8888888|7778889|1|38|38|38|27,10,24|I-2.1,I-3|A|no|1000|Revision to Describe the project scope of workDescribe the project scope of workDescribe the project scope of workDescribe the project scope of workDescribe the project scope of workDescribe the project scope of workDescribe the project scope of work|1|1|1|1|27,13,31|A|||no|no||||||1230||04TH|AV||1747|016|||||||||||||||||||||||||||||||||||||||||||Notes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationvvNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this application|||
6021912571e7c3ff95de40d1|2021-02-08 11:29:41 AM|existingBuilding|||AUTHORIZED AGENT-OTHERS|Test|Test|5558675309|jason.hemmerle@sfgov.org||Address Test|||City Test|CA|99999|||||5558675309|Address Test||City Test||99999|City & County of San Francisco|||jason.hemmerle@sfgov.org|2222222|6666666|1|38|38|38|27,28,24|A-1,A-2|A|no|38|Revision to Describe the project scope of workDescribe the project scope of workDescribe the project scope of workvDescribe the project scope of workDescribe the project scope of workDescribe the project scope of workDescribe the project scope of work|1|1|1|1|27,28,24|A|||no|no||||||34||03RD|ST||3706|278|||||||||||||||||||||||||||||||||||||||||||Notes about this applicationNotes about this applicationNotes about this application Notes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this application Notes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this application Notes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this application Notes about this applicationNotes about this applicationvNotes about this applicationNotes about this applicationNotes about this application Notes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this application Notes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this application Notes about this applicationNotes about this applicationvvvNotes about this applicationNotes about this applicationNotes about this application Notes about this applicationNotes about this applicationNotes about this applicationNotes about this applicationNotes about this application Notes about this applicationNotes about this application|||
60217ada356d9c75dead87bc|2021-02-08 09:54:34 AM|permitRevision|||contractor|TestCon|Test|5558675309|jason.hemmerle@sfgov.org||Address Test|||City Test|CA|99999|8675309|7777777|||5558675309|Address Test||City Test||99999||||||||||||||||Revision to||||||||||||||||1||COLBY|ST||5874|031|||||||||||||||||||||||||||||||||||||||||||Notes about this application|||
602177a1e6e8440fceef2d82|2021-02-08 09:40:49 AM|permitRevision|||AUTHORIZED AGENT-OTHERS|Test|Test|5558675309|jason.hemmerle@sfgov.org||Address Test|||City Test|CA|99999|||||5558675309|Address Test||City Test||99999|Contractor org name|||jason.hemmerle@sfgov.org|123456|1234567||||||||||Revision to||||||||||||||||1||REBECCA|LN||4720|074|||||||||||||||||||||||||||||||||||||||||||Notes about this application|||
601de3555cde7305252799cb|2021-02-05 04:31:17 PM|existingBuilding|||AUTHORIZED AGENT-OTHERS|test|test|3874981743|nicole.lee@sfgov.org||123 main st|||SAN FRANCISCO|CA|94102|||||3752987495|1275 mission st||sf||94103|||||||1|3|3|3|10,202,28|A-1|A|no|22|Revision to xx|1|2|2|2|27|A|||no|no||||||375||06TH|AV||1438|016|||||||||||||||||||||||||||||||||||||||||||xx|||
601de2a89c5c515896571c28|2021-02-05 04:28:24 PM|existingBuilding|||architect|test 2|test|1413419991|nicole.lee@sfgov.org||1275 mission st|||sf|CA|94103|||||4721897927|1275 mission st||sf||94103|||||||1|2|2|2|28|A-2|A|no|22|Revision to xx|1|2|2|2|28|B|||no|no||||||99||02ND|ST||3708|019|||||||||||||||||||||||||||||||||||||||||||xx|||
601de24f9c5c511115571bdd|2021-02-05 04:26:55 PM|permitRevision|||AUTHORIZED AGENT-OTHERS|henry|jiang|4155814055|henry.jiang@sfgov.org||1 south vanness|||San Francisco|CA|94113|||||4155814055|1 south vanness||San Francisco||94113||||||||||||||||Revision to||||||||||||||||1200||03RD|AV||1748|018A|||||||||||||||||||||||||||||||||||||||||||test|||
601dde8d78d4379b52f6b622|2021-02-05 04:10:53 PM|newConstruction|||AUTHORIZED AGENT-OTHERS agent|henry|jiang|4155814055|henry.jiang@sfgov.org||1 south vanness|||San Francisco|CA|94113|||||4155814055|1 south vanness||San Francisco||94113||||||||||||||yes||Revision to test|1|1|1|1|88,24|A||||||||||12||04TH|ST||3705Z|004|||||||||||||||||||||||||||||||||san francisco|||henry.jiang@sfgov.org|||||||test|||
601dda34cfc66b68d0413ef7|2021-02-05 03:52:20 PM|newConstruction|||architect|test 2|test 2|4151231214|nicole.lee@sfgov.org||1275 mission st|||sf|CA|94103|||||4154564567|1275 mission st||sf||94103||||||||||||||no||Revision to xxx|1|2|2|2|27|A||||||||||1280||03RD|AV||1751|016|||||||||||||||||||||||sfds|||test@gmail.com|||||||||||||||||xx|||
601dd98b5cff6d3255608859|2021-02-05 03:49:31 PM|permitRevision|||owner|Test|Test|5558675309|jason.hemmerle@sfgov.org||Address Test|||City Test|AZ|99999||||||||||||||||||||||||||Revision to||||||||||||||||22||04TH|ST||3705Z|004|||||||||||||||||||||||||||||||||||||||||||Notes about this application Notes about this application Notes about this application|||
